"YEAR","StatePriv_Open_Central","StatePriv_Open_West","StatePriv_Open_East","StatePriv_Closed_Central","StatePriv_Closed_West","StatePriv_Closed_East"
2013,870271.845344054,991406.140778165,0,1716142.04902067,2297.52524597315,0
2014,332383.496554221,524337.142644366,0,1595453.00312654,0,0
2015,351058.028167149,514676.083347651,0,905458.033307204,0,0
2016,633780.437677451,82619.294609243,15041.133963069,1238842.74261191,0,12252.2414620094
2017,2727021.58316327,320399.519195372,61761.1437280817,5539612.77351775,0,198965.669493148
2018,1052638.48656505,380820.989858021,123726.65631869,3972805.73671013,0,523312.821418298
2019,1186892.91244454,844184.09615764,61010.4268709095,4577791.52475949,0,334141.354809714
